MSA,Year,nSNAP
"Indianapolis-Carmel-Anderson, IN MSA",2016,2290350
"Indianapolis-Carmel-Anderson, IN MSA",2017,2124660
"Indianapolis-Carmel-Anderson, IN MSA",2018,1996230
"Indianapolis-Carmel-Anderson, IN MSA",2019,1964355
"Indianapolis-Carmel-Anderson, IN MSA",2020,2298420
"Jacksonville, FL MSA",2007,1352130
"Jacksonville, FL MSA",2008,1725405
"Jacksonville, FL MSA",2009,2396280
"Jacksonville, FL MSA",2010,2890470
"Jacksonville, FL MSA",2011,3126225
"Jacksonville, FL MSA",2012,3238680
"Jacksonville, FL MSA",2013,3332820
"Jacksonville, FL MSA",2014,3487020
"Jacksonville, FL MSA",2015,3360765
"Jacksonville, FL MSA",2016,2991045
"Jacksonville, FL MSA",2017,2889165
"Jacksonville, FL MSA",2018,2744850
"Jacksonville, FL MSA",2019,2853300
"Jacksonville, FL MSA",2020,3298725
"Kansas City, MO-KS MSA",2007,165465
"Kansas City, MO-KS MSA",2008,200700
"Kansas City, MO-KS MSA",2009,267015
"Kansas City, MO-KS MSA",2010,318735
"Kansas City, MO-KS MSA",2011,342150
"Kansas City, MO-KS MSA",2012,349455
"Kansas City, MO-KS MSA",2013,324090
"Kansas City, MO-KS MSA",2014,298890
"Kansas City, MO-KS MSA",2015,267825
"Kansas City, MO-KS MSA",2016,237390
"Kansas City, MO-KS MSA",2017,212580
"Kansas City, MO-KS MSA",2018,195900
"Kansas City, MO-KS MSA",2019,190650
"Kansas City, MO-KS MSA",2020,195495
"Las Vegas-Henderson-Paradise, NV MSA",2007,1565415
"Las Vegas-Henderson-Paradise, NV MSA",2008,2044185
"Las Vegas-Henderson-Paradise, NV MSA",2009,2961900
"Las Vegas-Henderson-Paradise, NV MSA",2010,3635130
"Las Vegas-Henderson-Paradise, NV MSA",2011,4009935
"Las Vegas-Henderson-Paradise, NV MSA",2012,4113840
"Las Vegas-Henderson-Paradise, NV MSA",2013,4331565
"Las Vegas-Henderson-Paradise, NV MSA",2014,4741545
"Las Vegas-Henderson-Paradise, NV MSA",2015,5124840
"Las Vegas-Henderson-Paradise, NV MSA",2016,5220045
"Las Vegas-Henderson-Paradise, NV MSA",2017,5280390
"Las Vegas-Henderson-Paradise, NV MSA",2018,5161650
"Las Vegas-Henderson-Paradise, NV MSA",2019,5284290
"Las Vegas-Henderson-Paradise, NV MSA",2020,5596920
"Los Angeles-Long Beach-Anaheim, CA MSA",2007,11754975
"Los Angeles-Long Beach-Anaheim, CA MSA",2008,13328055
"Los Angeles-Long Beach-Anaheim, CA MSA",2009,16109640
"Los Angeles-Long Beach-Anaheim, CA MSA",2010,18511185
"Los Angeles-Long Beach-Anaheim, CA MSA",2011,20202480
"Los Angeles-Long Beach-Anaheim, CA MSA",2012,21403365
"Los Angeles-Long Beach-Anaheim, CA MSA",2013,22580655
"Los Angeles-Long Beach-Anaheim, CA MSA",2014,23304870
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,22815060
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,21285765
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,20702355
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,19956585
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,22585590
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,23648115
"Louisville/Jefferson County, KY-IN MSA",2007,1362630
"Louisville/Jefferson County, KY-IN MSA",2008,1505010
"Louisville/Jefferson County, KY-IN MSA",2009,1735755
"Louisville/Jefferson County, KY-IN MSA",2010,1912200
"Louisville/Jefferson County, KY-IN MSA",2011,1988430
"Louisville/Jefferson County, KY-IN MSA",2012,2096625
"Louisville/Jefferson County, KY-IN MSA",2013,2028720
"Louisville/Jefferson County, KY-IN MSA",2014,1929870
"Louisville/Jefferson County, KY-IN MSA",2015,1672320
"Louisville/Jefferson County, KY-IN MSA",2016,1443960
"Louisville/Jefferson County, KY-IN MSA",2017,1365105
"Louisville/Jefferson County, KY-IN MSA",2018,1219830
"Louisville/Jefferson County, KY-IN MSA",2019,1150620
"Louisville/Jefferson County, KY-IN MSA",2020,1474515
"Memphis, TN-MS-AR MSA",2007,2818215
"Memphis, TN-MS-AR MSA",2008,3159060
"Memphis, TN-MS-AR MSA",2009,3555270
"Memphis, TN-MS-AR MSA",2010,3791400
"Memphis, TN-MS-AR MSA",2011,3831210
"Memphis, TN-MS-AR MSA",2012,3993885
"Memphis, TN-MS-AR MSA",2013,3967065
"Memphis, TN-MS-AR MSA",2014,3790410
"Memphis, TN-MS-AR MSA",2015,3487650
"Memphis, TN-MS-AR MSA",2016,3342390
"Memphis, TN-MS-AR MSA",2017,3214665
"Memphis, TN-MS-AR MSA",2018,2896305
"Memphis, TN-MS-AR MSA",2019,2841495
"Memphis, TN-MS-AR MSA",2020,2937435
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2007,7167495
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2008,8791275
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2009,11508450
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2010,13953795
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2011,15470175
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2012,16738710
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2013,17016165
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2014,17594445
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2015,17357610
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2016,16259835
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2017,15440340
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2018,14306640
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2019,14337600
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2020,18239235
"Milwaukee-Waukesha, WI MSA",2007,2258070
"Milwaukee-Waukesha, WI MSA",2008,2598285
"Milwaukee-Waukesha, WI MSA",2009,3289470
"Milwaukee-Waukesha, WI MSA",2010,3715470
"Milwaukee-Waukesha, WI MSA",2011,3923295
"Milwaukee-Waukesha, WI MSA",2012,4262460
"Milwaukee-Waukesha, WI MSA",2013,4277865
"Milwaukee-Waukesha, WI MSA",2014,4225065
"Milwaukee-Waukesha, WI MSA",2015,3924975
"Milwaukee-Waukesha, WI MSA",2016,3637335
"Milwaukee-Waukesha, WI MSA",2017,3508275
"Milwaukee-Waukesha, WI MSA",2018,3391500
"Milwaukee-Waukesha, WI MSA",2019,3438645
"Milwaukee-Waukesha, WI MSA",2020,3990960
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2007,1931175
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2008,2107725
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2009,2596140
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2010,3026415
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2011,3271995
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2012,3394110
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2013,3420390
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2014,3154755
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2015,3077655
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2016,2930190
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2017,2785170
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2018,2678220
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2019,2642700
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2020,2949255
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2007,1241535
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2008,1398195
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2009,1643310
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2010,1808415
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2011,1890390
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2012,1975950
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2013,1961790
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2014,1834275
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2015,1667130
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2016,1401135
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2017,1208940
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2018,1146870
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2019,1088805
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2020,1152510
"New York-Newark-Jersey City, NY-NJ-PA MSA",2007,22685760
"New York-Newark-Jersey City, NY-NJ-PA MSA",2008,26704575
"New York-Newark-Jersey City, NY-NJ-PA MSA",2009,32546415
"New York-Newark-Jersey City, NY-NJ-PA MSA",2010,36783435
"New York-Newark-Jersey City, NY-NJ-PA MSA",2011,38458230
"New York-Newark-Jersey City, NY-NJ-PA MSA",2012,39639675
"New York-Newark-Jersey City, NY-NJ-PA MSA",2013,39641970
"New York-Newark-Jersey City, NY-NJ-PA MSA",2014,38466255
"New York-Newark-Jersey City, NY-NJ-PA MSA",2015,37499610
"New York-Newark-Jersey City, NY-NJ-PA MSA",2016,36880770
"New York-Newark-Jersey City, NY-NJ-PA MSA",2017,35220180
"New York-Newark-Jersey City, NY-NJ-PA MSA",2018,33419760
"New York-Newark-Jersey City, NY-NJ-PA MSA",2019,32180580
"New York-Newark-Jersey City, NY-NJ-PA MSA",2020,35709930
"Oklahoma City, OK MSA",2007,1666770
"Oklahoma City, OK MSA",2008,1818975
"Oklahoma City, OK MSA",2009,2256600
"Oklahoma City, OK MSA",2010,2484810
"Oklahoma City, OK MSA",2011,2472585
"Oklahoma City, OK MSA",2012,2485170
"Oklahoma City, OK MSA",2013,2459250
"Oklahoma City, OK MSA",2014,2434320
"Oklahoma City, OK MSA",2015,2514195
"Oklahoma City, OK MSA",2016,2526645
"Oklahoma City, OK MSA",2017,2493165
"Oklahoma City, OK MSA",2018,2467080
"Oklahoma City, OK MSA",2019,2555685
"Oklahoma City, OK MSA",2020,2820150
"Orlando-Kissimmee-Sanford, FL MSA",2007,1772805
"Orlando-Kissimmee-Sanford, FL MSA",2008,2219535
"Orlando-Kissimmee-Sanford, FL MSA",2009,3277395
